Latitude,Longitude,Datum,Horizontal Accuracy,State Code,County Code,Site Num,Parameter Code,POC,AQS Parameter Desc,Date Local,24 Hour Local,Date GMT,24 Hour GMT,Year GMT,Day In Year GMT,Sample Measurement,Units of Measure,Sample Duration,Sample Frequency,Detection Limit,Measurement Uncertainty,Qualifier Description,Method Type,Method Description
33.901389,-118.205,"WGS84",1,"06","037","1302","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.4,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
33.859444,-118.200278,"WGS84",3.04,"06","037","4008","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.1,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
34.01194,-118.06995,"WGS84",1,"06","037","1602","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.2,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
34.19925,-118.53276,"WGS84",0,"06","037","1201","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.3,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
34.1365,-117.92391,"WGS84",0,"06","037","0002","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.2,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
34.06659,-118.22688,"WGS84",0,"06","037","1103","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.1,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
33.79236,-118.17533,"WGS84",.1,"06","037","4004","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.1,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
33.82376,-118.18921,"WGS84",0,"06","037","4002","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.1,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
34.1326,-118.1272,"WGS84",0,"06","037","2005","68101",1,"Sample Flow Rate- CV","2017-01-01","00:00","2017-01-01","08:00",2017,1,.2,"Percent","24 HOUR","",.1,,"","Non-Federal Reference","INSTRUMENTAL-Calculation"
34.19925,-118.53276,"WGS84",0,"06","037","1201","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
34.06659,-118.22688,"WGS84",0,"06","037","1103","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24.1,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
34.1326,-118.1272,"WGS84",0,"06","037","2005","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
34.1365,-117.92391,"WGS84",0,"06","037","0002","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
33.901389,-118.205,"WGS84",1,"06","037","1302","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
33.859444,-118.200278,"WGS84",3.04,"06","037","4008","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24.1,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
34.01194,-118.06995,"WGS84",1,"06","037","1602","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
33.82376,-118.18921,"WGS84",0,"06","037","4002","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24.1,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
33.79236,-118.17533,"WGS84",.1,"06","037","4004","68102",1,"Sample Volume","2017-01-01","00:00","2017-01-01","08:00",2017,1,24,"Cubic meter","24 HOUR","",8,,"","Non-Federal Reference","INSTRUMENTAL-CALCULATION"
33.859444,-118.200278,"WGS84",3.04,"06","037","4008","68103",1,"Ambient Min Temperature","2017-01-01","00:00","2017-01-01","08:00",2017,1,5.3,"Degrees Centigrade","24 HOUR","",-40,,"","Non-Federal Reference","INSTRUMENTAL-ELECTRONIC"
34.1365,-117.92391,"WGS84",0,"06","037","0002","68103",1,"Ambient Min Temperature","2017-01-01","00:00","2017-01-01","08:00",2017,1,4.6,"Degrees Centigrade","24 HOUR","",-40,,"","Non-Federal Reference","INSTRUMENTAL-ELECTRONIC"
33.79236,-118.17533,"WGS84",.1,"06","037","4004","68103",1,"Ambient Min Temperature","2017-01-01","00:00","2017-01-01","08:00",2017,1,5.7,"Degrees Centigrade","24 HOUR","",-40,,"","Non-Federal Reference","INSTRUMENTAL-ELECTRONIC"
34.19925,-118.53276,"WGS84",0,"06","037","1201","68103",1,"Ambient Min Temperature","2017-01-01","00:00","2017-01-01","08:00",2017,1,4.6,"Degrees Centigrade","24 HOUR","",-40,,"","Non-Federal Reference","INSTRUMENTAL-ELECTRONIC"
33.82376,-118.18921,"WGS84",0,"06","037","4002","68103",1,"Ambient Min Temperature","2017-01-01","00:00","2017-01-01","08:00",2017,1,5.2,"Degrees Centigrade","24 HOUR","",-40,,"","Non-Federal Reference","INSTRUMENTAL-ELECTRONIC"
